date;time;sale_point_number;operation_number;sum_operation
30.09.2018;17:00;office7;1;65093.22
27.12.2018;13:00;office15;2;35110.15
01.11.2018;09:00;office8;3;58305.13
24.07.2018;16:00;office12;4;27569.46
24.04.2018;00:00;office8;5;75438.24
17.09.2018;05:00;office11;6;61289.48
17.07.2018;12:00;office3;7;99036.27
22.10.2018;00:00;office7;8;57598.45
17.06.2018;04:00;office6;9;39457.25
22.10.2018;21:00;office2;10;80141.21
27.11.2018;17:00;office14;11;58012.49
01.01.2018;15:00;office6;12;90049.28
11.09.2018;19:00;office7;13;73715.15
09.06.2018;16:00;office5;14;84621.38
25.09.2018;18:00;office6;15;61492.21
25.01.2018;23:00;office7;16;62387.26
18.11.2018;19:00;office3;17;67796.34
02.07.2018;13:00;office13;18;95408.14
01.03.2018;15:00;office6;19;42056.42
13.02.2018;21:00;office4;20;75235.48
28.11.2018;02:00;office6;21;65299.21
30.10.2018;07:00;office15;22;88217.22
07.01.2018;15:00;office11;23;79028.36
11.05.2018;10:00;office15;24;67942.15
12.01.2018;06:00;office4;25;91896.31
12.04.2018;05:00;office9;26;30414.16
16.09.2018;19:00;office12;27;76446.34
13.04.2018;20:00;office7;28;77049.3
17.05.2018;13:00;office14;29;92677.29
06.01.2018;02:00;office5;30;85683.3
06.07.2018;20:00;office4;31;24406.17
27.08.2018;10:00;office11;32;81969.17
03.08.2018;23:00;office9;33;31554.17
02.10.2018;22:00;office15;34;70047.36
09.08.2018;15:00;office14;35;18804.26
06.12.2018;04:00;office13;36;23675.35
01.12.2018;15:00;office12;37;16450.39
06.07.2018;19:00;office14;38;95535.17
30.06.2018;16:00;office2;39;50509.43
21.12.2018;01:00;office16;40;12647.16
27.01.2018;07:00;office12;41;33845.35
03.07.2018;17:00;office7;42;12771.22
09.10.2018;13:00;office12;43;90609.23
28.09.2018;22:00;office16;44;51741.33
20.09.2018;08:00;office6;45;45669.31
06.07.2018;02:00;office11;46;39344.16
28.06.2018;06:00;office4;47;94248.29
13.01.2018;14:00;office6;48;67803.18
18.01.2018;05:00;office8;49;52345.26
12.12.2018;23:00;office14;50;65425.47
06.06.2018;04:00;office3;51;39416.26
11.05.2018;04:00;office8;52;95295.2
02.01.2018;09:00;office2;53;29423.26
16.02.2018;09:00;office5;54;91819.3
04.11.2018;07:00;office10;55;86736.42
23.12.2018;19:00;office9;56;35088.46
19.12.2018;13:00;office5;57;30003.29
29.10.2018;09:00;office8;58;24095.43
11.01.2018;13:00;office11;59;87668.33
17.10.2018;07:00;office9;60;11715.46
25.04.2018;12:00;office2;61;93633.3
05.04.2018;09:00;office2;62;59567.46
15.06.2018;10:00;office10;63;49081.41
06.02.2018;09:00;office12;64;21471.26
27.07.2018;22:00;office13;65;79824.15
10.06.2018;01:00;office5;66;60683.45
31.03.2018;19:00;office6;67;54258.21
01.12.2018;14:00;office8;68;31540.17
04.03.2018;08:00;office10;69;64865.3
08.09.2018;03:00;office1;70;13706.16
31.08.2018;02:00;office10;71;13851.4
21.11.2018;17:00;office13;72;29075.42
25.08.2018;01:00;office4;73;83961.2
22.09.2018;06:00;office3;74;81139.29
29.12.2018;13:00;office3;75;28962.24
27.12.2018;20:00;office11;76;67197.12
21.08.2018;07:00;office8;77;27583.14
11.07.2018;07:00;office8;78;35940.21
18.09.2018;15:00;office10;79;31265.16
02.12.2018;03:00;office16;80;16397.19
28.07.2018;08:00;office9;81;21452.2
10.12.2018;11:00;office14;82;69732.4
31.03.2018;05:00;office1;83;32820.49
27.11.2018;02:00;office15;84;95420.46
13.09.2018;18:00;office12;85;24618.46
22.03.2018;07:00;office5;86;10153.45
04.09.2018;18:00;office1;87;80902.24
24.06.2018;10:00;office2;88;39521.5
17.03.2018;20:00;office1;89;25083.18
18.05.2018;08:00;office15;90;90584.13
10.03.2018;20:00;office16;91;65533.16
13.09.2018;00:00;office1;92;88847.24
01.07.2018;10:00;office1;93;77584.12
17.05.2018;03:00;office5;94;20152.17
19.06.2018;13:00;office9;95;26168.19
16.01.2018;06:00;office10;96;25637.37
23.01.2018;05:00;office5;97;70710.25
25.03.2018;15:00;office16;98;55166.45
16.04.2018;03:00;office2;99;43301.4
26.10.2018;08:00;office13;100;31482.35
26.11.2018;01:00;office15;101;36526.41
18.08.2018;22:00;office16;102;96946.18
20.01.2018;16:00;office15;103;94781.43
18.06.2018;07:00;office13;104;93607.17
17.04.2018;21:00;office1;105;64509.45
31.01.2018;15:00;office6;106;55192.49
05.03.2018;10:00;office15;107;97599.14
27.08.2018;09:00;office12;108;85534.24
06.03.2018;06:00;office11;109;77722.37
15.04.2018;07:00;office2;110;25661.17
15.07.2018;04:00;office14;111;10665.28
28.05.2018;00:00;office8;112;38222.32
26.02.2018;04:00;office14;113;87780.41
09.04.2018;03:00;office6;114;76522.18
19.03.2018;12:00;office2;115;78448.41
05.12.2018;23:00;office9;116;90811.46
21.05.2018;20:00;office1;117;37552.16
25.05.2018;15:00;office12;118;22657.17
24.03.2018;19:00;office5;119;20660.48
27.09.2018;16:00;office6;120;40040.42
27.01.2018;20:00;office14;121;89115.35
26.02.2018;19:00;office4;122;19775.35
23.09.2018;16:00;office15;123;24486.15
09.09.2018;16:00;office16;124;86419.34
01.11.2018;02:00;office15;125;78289.27
25.08.2018;00:00;office10;126;86821.31
16.04.2018;13:00;office7;127;22803.46
10.08.2018;01:00;office12;128;44585.22
25.01.2018;21:00;office3;129;76017.3
22.01.2018;23:00;office10;130;39352.12
28.11.2018;08:00;office2;131;49018.45
23.09.2018;08:00;office1;132;45609.17
23.09.2018;03:00;office4;133;40831.19
09.01.2018;11:00;office1;134;94665.35
11.12.2018;11:00;office4;135;37349.15
25.04.2018;13:00;office2;136;80736.34
12.05.2018;09:00;office16;137;66525.12
10.02.2018;03:00;office16;138;54947.12
22.11.2018;21:00;office4;139;89366.42
23.07.2018;21:00;office7;140;33645.2
19.08.2018;06:00;office10;141;33328.28
08.12.2018;17:00;office5;142;90577.41
30.06.2018;14:00;office13;143;30180.27
05.06.2018;03:00;office10;144;14157.38
06.12.2018;09:00;office11;145;70896.47
17.11.2018;21:00;office5;146;10981.31
10.03.2018;07:00;office15;147;94971.31
28.09.2018;18:00;office10;148;29003.38
28.05.2018;06:00;office8;149;33376.21
28.12.2018;02:00;office14;150;25737.4
27.01.2018;16:00;office14;151;17076.4
26.03.2018;05:00;office10;152;76953.21
19.02.2018;21:00;office4;153;86161.5
10.07.2018;23:00;office2;154;68151.48
10.05.2018;08:00;office14;155;24433.48
11.12.2018;16:00;office11;156;47223.48
07.03.2018;10:00;office1;157;95172.41
07.06.2018;16:00;office9;158;44426.49
25.11.2018;01:00;office13;159;49282.24
12.11.2018;04:00;office1;160;68005.21
21.09.2018;06:00;office12;161;72399.37
12.01.2018;11:00;office5;162;16872.3
03.03.2018;01:00;office14;163;14505.43
